, Average Price,Latitude,Longitude
0,3829,17.308544532779646,78.12720417306588
1,3558,17.3041476142379,78.12680184031106
2,3838,17.307087089880714,78.13848225087081
3,2980,17.31313895469792,78.14045539529126
4,3067,17.30649376754027,78.1234787002752
5,3569,17.320160159835233,78.12276044580358
6,3071,17.323903327076298,78.12629427079032
7,3188,17.30747772515011,78.13163051538253
8,3293,17.307731583607676,78.13870469175696
9,3022,17.314754092409217,78.13904203955484
10,3681,17.30348720130139,78.13833847102838
11,3601,17.309398388195767,78.12974195886851
12,2963,17.313569840819998,78.1364692859839
13,3933,17.326118037685678,78.1251603434176
14,3161,17.300286820199375,78.12310323112752
15,3757,17.30329659079545,78.13982440094296
16,3291,17.314185789604622,78.12548622979024
17,3257,17.31129621973876,78.13258965469964
18,3127,17.30480214208037,78.14416505740792
19,3370,17.308005932851213,78.15239824973683
20,3741,17.30094695184892,78.14582203995307
21,3798,17.32502203175817,78.12665060429443
22,3766,17.303442228839142,78.13086301482942
23,3477,17.305133880670294,78.14355175992452
24,3665,17.316590828838077,78.15188818891873
25,3860,17.313168728936045,78.1473111557355
26,3719,17.31821787397971,78.12569878172576
27,3050,17.310374506557743,78.12841704550829
28,3109,17.318029849328294,78.14403284337664
29,2968,17.303481452659366,78.12733170779534
30,3268,17.311710293487437,78.15218985383109
31,3411,17.324235260800933,78.14052876910837
32,3878,17.318678356570622,78.15100133240516
33,3108,17.312742068646,78.14536452687149
34,3418,17.305096455704,78.15204934247693
35,3403,17.310068588519858,78.13082808442739
36,3645,17.316350299124647,78.15077893548228
37,3952,17.30588955332806,78.12805701993074
38,3062,17.322878952771333,78.14169403015872
39,3275,17.30180424330202,78.12402378091073
40,3291,17.313129425018268,78.13499974294953
41,3457,17.32096294332737,78.13691785700242
42,3356,17.315663270239277,78.14555536685198
43,3935,17.311371557702675,78.14661888044081
44,3502,17.3176619466294,78.13399487459638
45,3338,17.31051124574612,78.13446345390288
46,3249,17.307759356258728,78.1412372208455
47,2980,17.307296450221877,78.13303809753572
48,3381,17.307588522162334,78.12980227573895
49,3849,17.303058850453443,78.1407878248392
50,3366,17.32756626139657,78.12469014946038
51,3761,17.308370851182442,78.12274557875007
52,3494,17.31365879210506,78.14019793458716
53,3689,17.32762114451714,78.14934215406174
54,3876,17.31296518085882,78.13764875176396
55,3052,17.3239866420612,78.13733845375639
56,3146,17.307035631169864,78.13016507911529
57,3623,17.327072194473757,78.13347730727531
58,3452,17.321989226024172,78.14297821440437
59,3893,17.32449283156616,78.12727119485902
60,3617,17.29878356870917,78.13293969640365
61,3019,17.30197877895634,78.14377692430602
62,3804,17.305767045145483,78.1355917863523
63,3905,17.302094188917152,78.13754229866507
64,3069,17.303674875216796,78.12715583568331
65,3148,17.30438624920798,78.15198916905415
66,3396,17.30086084306242,78.14731099002267
67,3124,17.313480811994697,78.14908608303237
68,3637,17.315705871948293,78.14395987433305
69,3885,17.31568464380728,78.13431534154246
